query_filename_left	query_filename_right	distance
DSM_105335_7_G5.mzML	DSM_105335_7_G5.mzML	0.0
CLA_JM_H23_3_C12.mzML	DSM_105335_7_G5.mzML	0.9793769970419415
McC_252_APC_1B1_A10.mzML	DSM_105335_7_G5.mzML	0.9346862512458104
BL_178_WT_3A_7_G7.mzML	DSM_105335_7_G5.mzML	0.9693556511138507
CLA_JM_H27_7_G6.mzML	DSM_105335_7_G5.mzML	0.9502434887282262
CLA_JM_H23_8_H11.mzML	DSM_105335_7_G5.mzML	0.9834505905294797
CLA_AA_H284_5_E1.mzML	DSM_105335_7_G5.mzML	0.9224628315139918
CLA_AA_H284_3_C1.mzML	DSM_105335_7_G5.mzML	0.9746092487641227
CLA_AA_H149_2_B3.mzML	DSM_105335_7_G5.mzML	0.9267508948417088
McC_252_APC_1B1_5_E10.mzML	DSM_105335_7_G5.mzML	0.9140315706003019
CLA_AA_H117_6_F8.mzML	DSM_105335_7_G5.mzML	0.9859083798480461
CLA_AA_H284_A1.mzML	DSM_105335_7_G5.mzML	0.9743107384639925
CLA_AA_H149_4_D3.mzML	DSM_105335_7_G5.mzML	0.920833180114104
McC_252_APC_1B1_6_F10.mzML	DSM_105335_7_G5.mzML	0.9060355736528765
CLA_AA_H149_8_H3.mzML	DSM_105335_7_G5.mzML	0.9809096313807791
McC_252_APC_1B1_3_C10.mzML	DSM_105335_7_G5.mzML	0.908020376244521
H4_GB1_C9_5_E9.mzML	DSM_105335_7_G5.mzML	0.9269747170926235
CLA_AA_H222_8_H2.mzML	DSM_105335_7_G5.mzML	0.9418379647919397
CLA_JM_H23_7_G11.mzML	DSM_105335_7_G5.mzML	0.9874969374487058
H4_GB1_C9_3_C9.mzML	DSM_105335_7_G5.mzML	0.9127738659873137
CLA_AA_H222_4_D2.mzML	DSM_105335_7_G5.mzML	0.9381952046894876
CLA_AA_H222_2_B2.mzML	DSM_105335_7_G5.mzML	0.979574000953914
DSM_105335_6_F5.mzML	DSM_105335_7_G5.mzML	0.12971417382084327
CLA_JM_H27_6_F6.mzML	DSM_105335_7_G5.mzML	0.9525542253507724
BL_178_WT_3A_6_F7.mzML	DSM_105335_7_G5.mzML	0.9817899552700312
BL_178_WT_3A_A7.mzML	DSM_105335_7_G5.mzML	0.9735632402112689
CLA_AA_H284_8_H1.mzML	DSM_105335_7_G5.mzML	0.9394814743901704
CLA_AA_H284_2_B1.mzML	DSM_105335_7_G5.mzML	0.9314409212277189
CLA_JM_H27_A6.mzML	DSM_105335_7_G5.mzML	0.9579505616100659
CLA_AA_H284_4_D1.mzML	DSM_105335_7_G5.mzML	0.9102614398002672
CLA_AA_H149_5_E3.mzML	DSM_105335_7_G5.mzML	0.9778052955737897
CLA_AA_H117_7_G8.mzML	DSM_105335_7_G5.mzML	0.9784941303381512
CLA_AA_H149_3_C3.mzML	DSM_105335_7_G5.mzML	0.941056958990476
CLA_AA_H149_A3.mzML	DSM_105335_7_G5.mzML	0.9332248698196477
H4_GB1_C9_2_B9.mzML	DSM_105335_7_G5.mzML	0.8722961943019197
H4_GB1_C9_4_D9.mzML	DSM_105335_7_G5.mzML	0.8925926307452213
CLA_AA_H222_3_C2.mzML	DSM_105335_7_G5.mzML	0.9806918157039819
H4_GB1_C9_8_H9.mzML	DSM_105335_7_G5.mzML	0.9486102959951004
CLA_AA_H222_5_E2.mzML	DSM_105335_7_G5.mzML	0.9409079409192069
BL_178_WT_3A_3_C7.mzML	DSM_105335_7_G5.mzML	0.9714153412782796
CLA_JM_H27_5_E6.mzML	DSM_105335_7_G5.mzML	0.9507566409128203
CLA_JM_H27_3_C6.mzML	DSM_105335_7_G5.mzML	0.9534663575865571
BL_178_WT_3A_5_E7.mzML	DSM_105335_7_G5.mzML	0.97144749460665
DSM_105335_3_C5.mzML	DSM_105335_7_G5.mzML	0.160398550433544
DSM_105335_5_E5.mzML	DSM_105335_7_G5.mzML	0.04123271623223124
CLA_JM_H23_2_B12.mzML	DSM_105335_7_G5.mzML	0.956296670841733
McC_252_APC_1B1_8_H10.mzML	DSM_105335_7_G5.mzML	0.9444003215383121
CLA_AA_H284_7_G1.mzML	DSM_105335_7_G5.mzML	0.9306288955016843
CLA_JM_H23_4_D12.mzML	DSM_105335_7_G5.mzML	0.9747848482312508
CLA_AA_H117_A8.mzML	DSM_105335_7_G5.mzML	0.9782996857551637
McC_252_APC_1B1_7_G10.mzML	DSM_105335_7_G5.mzML	0.9803984892569152
CLA_AA_H117_8_H8.mzML	DSM_105335_7_G5.mzML	0.9786270782441997
CLA_AA_H149_6_F3.mzML	DSM_105335_7_G5.mzML	0.9771988656957618
CLA_AA_H117_2_B8.mzML	DSM_105335_7_G5.mzML	0.9798123955064034
McC_252_APC_1B1_4_D10.mzML	DSM_105335_7_G5.mzML	0.9288393343423322
CLA_AA_H117_4_D8.mzML	DSM_105335_7_G5.mzML	0.98611884506339
CLA_JM_H23_5_E11.mzML	DSM_105335_7_G5.mzML	0.9934699230579586
CLA_AA_H222_6_F2.mzML	DSM_105335_7_G5.mzML	0.9344177126370257
McC_252_APC_1B1_2_B10.mzML	DSM_105335_7_G5.mzML	0.9353261256271406
H4_GB1_C9_7_G9.mzML	DSM_105335_7_G5.mzML	0.8799468573286682
CLA_JM_H23_6_F11.mzML	DSM_105335_7_G5.mzML	0.9913113348815337
DSM_105335_8_H5.mzML	DSM_105335_7_G5.mzML	0.1404214772373762
DSM_105335_A5.mzML	DSM_105335_7_G5.mzML	0.25341531716958865
CLA_AA_H222_A2.mzML	DSM_105335_7_G5.mzML	0.9418525890063167
CLA_JM_H27_2_B6.mzML	DSM_105335_7_G5.mzML	0.9494916999164379
BL_178_WT_3A_4_D7.mzML	DSM_105335_7_G5.mzML	0.974962114197758
BL_178_WT_3A_2_B7.mzML	DSM_105335_7_G5.mzML	0.9715017332328741
CLA_JM_H27_4_D6.mzML	DSM_105335_7_G5.mzML	0.9479559636937042
BL_178_WT_3A_8_H7.mzML	DSM_105335_7_G5.mzML	0.9875329125080766
DSM_105335_4_D5.mzML	DSM_105335_7_G5.mzML	0.14113815985898315
CLA_JM_H27_8_H6.mzML	DSM_105335_7_G5.mzML	0.9575481574002336
DSM_105335_2_B5.mzML	DSM_105335_7_G5.mzML	0.20406777702810952
CLA_AA_H284_6_F1.mzML	DSM_105335_7_G5.mzML	0.9704398207623708
H4_GB1_C9_A9.mzML	DSM_105335_7_G5.mzML	0.8899666467912528
CLA_AA_H117_5_E8.mzML	DSM_105335_7_G5.mzML	0.979519973576356
CLA_AA_H117_3_C8.mzML	DSM_105335_7_G5.mzML	0.9301925336108646
CLA_JM_H23_A12.mzML	DSM_105335_7_G5.mzML	0.9500847189838142
CLA_AA_H149_7_G3.mzML	DSM_105335_7_G5.mzML	0.979408981517606
CLA_AA_H222_7_G2.mzML	DSM_105335_7_G5.mzML	0.944007920801443
H4_GB1_C9_6_F9.mzML	DSM_105335_7_G5.mzML	0.9104982124685177
DSM_105335_7_G5.mzML	CLA_JM_H23_3_C12.mzML	0.9793769970419415
CLA_JM_H23_3_C12.mzML	CLA_JM_H23_3_C12.mzML	0.0
McC_252_APC_1B1_A10.mzML	CLA_JM_H23_3_C12.mzML	1.0
BL_178_WT_3A_7_G7.mzML	CLA_JM_H23_3_C12.mzML	0.9835363490166188
CLA_JM_H27_7_G6.mzML	CLA_JM_H23_3_C12.mzML	0.973633217475357
CLA_JM_H23_8_H11.mzML	CLA_JM_H23_3_C12.mzML	0.92521496726956
CLA_AA_H284_5_E1.mzML	CLA_JM_H23_3_C12.mzML	0.9886228737774949
CLA_AA_H284_3_C1.mzML	CLA_JM_H23_3_C12.mzML	0.9871189417754528
CLA_AA_H149_2_B3.mzML	CLA_JM_H23_3_C12.mzML	0.9706943405216165
McC_252_APC_1B1_5_E10.mzML	CLA_JM_H23_3_C12.mzML	1.0
CLA_AA_H117_6_F8.mzML	CLA_JM_H23_3_C12.mzML	0.9451255492914428
CLA_AA_H284_A1.mzML	CLA_JM_H23_3_C12.mzML	0.9880568022300007
CLA_AA_H149_4_D3.mzML	CLA_JM_H23_3_C12.mzML	0.9863722389563286
McC_252_APC_1B1_6_F10.mzML	CLA_JM_H23_3_C12.mzML	0.999005073640661
CLA_AA_H149_8_H3.mzML	CLA_JM_H23_3_C12.mzML	0.9850558600866943
McC_252_APC_1B1_3_C10.mzML	CLA_JM_H23_3_C12.mzML	0.9989228622150949
H4_GB1_C9_5_E9.mzML	CLA_JM_H23_3_C12.mzML	1.0
CLA_AA_H222_8_H2.mzML	CLA_JM_H23_3_C12.mzML	0.9971711296318734
CLA_JM_H23_7_G11.mzML	CLA_JM_H23_3_C12.mzML	0.9143808621256533
H4_GB1_C9_3_C9.mzML	CLA_JM_H23_3_C12.mzML	1.0
CLA_AA_H222_4_D2.mzML	CLA_JM_H23_3_C12.mzML	0.9993792718273032
CLA_AA_H222_2_B2.mzML	CLA_JM_H23_3_C12.mzML	1.0
DSM_105335_6_F5.mzML	CLA_JM_H23_3_C12.mzML	0.9820899170774704
CLA_JM_H27_6_F6.mzML	CLA_JM_H23_3_C12.mzML	0.9722120361872307
BL_178_WT_3A_6_F7.mzML	CLA_JM_H23_3_C12.mzML	0.9849874702371199
BL_178_WT_3A_A7.mzML	CLA_JM_H23_3_C12.mzML	0.9849222087072332
CLA_AA_H284_8_H1.mzML	CLA_JM_H23_3_C12.mzML	0.9885432915777188
CLA_AA_H284_2_B1.mzML	CLA_JM_H23_3_C12.mzML	0.9874376444044694
CLA_JM_H27_A6.mzML	CLA_JM_H23_3_C12.mzML	0.9926340001620855
CLA_AA_H284_4_D1.mzML	CLA_JM_H23_3_C12.mzML	0.9883983061548219
CLA_AA_H149_5_E3.mzML	CLA_JM_H23_3_C12.mzML	0.9861095564259067
CLA_AA_H117_7_G8.mzML	CLA_JM_H23_3_C12.mzML	0.9497491360622377
CLA_AA_H149_3_C3.mzML	CLA_JM_H23_3_C12.mzML	0.9890765929728024
CLA_AA_H149_A3.mzML	CLA_JM_H23_3_C12.mzML	0.9905473173410357
H4_GB1_C9_2_B9.mzML	CLA_JM_H23_3_C12.mzML	1.0
H4_GB1_C9_4_D9.mzML	CLA_JM_H23_3_C12.mzML	1.0
CLA_AA_H222_3_C2.mzML	CLA_JM_H23_3_C12.mzML	1.0
H4_GB1_C9_8_H9.mzML	CLA_JM_H23_3_C12.mzML	1.0
CLA_AA_H222_5_E2.mzML	CLA_JM_H23_3_C12.mzML	0.9977589692620625
BL_178_WT_3A_3_C7.mzML	CLA_JM_H23_3_C12.mzML	0.9860621611437982
CLA_JM_H27_5_E6.mzML	CLA_JM_H23_3_C12.mzML	0.9799326307684969
CLA_JM_H27_3_C6.mzML	CLA_JM_H23_3_C12.mzML	0.9937778917580228
BL_178_WT_3A_5_E7.mzML	CLA_JM_H23_3_C12.mzML	0.9754408229180286
DSM_105335_3_C5.mzML	CLA_JM_H23_3_C12.mzML	0.9782093280565349
DSM_105335_5_E5.mzML	CLA_JM_H23_3_C12.mzML	0.9886489387235006
CLA_JM_H23_2_B12.mzML	CLA_JM_H23_3_C12.mzML	0.4592299166772299
McC_252_APC_1B1_8_H10.mzML	CLA_JM_H23_3_C12.mzML	0.9990356557169756
CLA_AA_H284_7_G1.mzML	CLA_JM_H23_3_C12.mzML	0.977532553284894
CLA_JM_H23_4_D12.mzML	CLA_JM_H23_3_C12.mzML	0.441954685497125
CLA_AA_H117_A8.mzML	CLA_JM_H23_3_C12.mzML	0.9964964931887701
McC_252_APC_1B1_7_G10.mzML	CLA_JM_H23_3_C12.mzML	0.9870007757584323
CLA_AA_H117_8_H8.mzML	CLA_JM_H23_3_C12.mzML	0.9498751292912809
CLA_AA_H149_6_F3.mzML	CLA_JM_H23_3_C12.mzML	0.9851110697927792
CLA_AA_H117_2_B8.mzML	CLA_JM_H23_3_C12.mzML	0.9941364789069775
McC_252_APC_1B1_4_D10.mzML	CLA_JM_H23_3_C12.mzML	1.0
CLA_AA_H117_4_D8.mzML	CLA_JM_H23_3_C12.mzML	0.9962801619681902
CLA_JM_H23_5_E11.mzML	CLA_JM_H23_3_C12.mzML	0.48613591464163686
CLA_AA_H222_6_F2.mzML	CLA_JM_H23_3_C12.mzML	0.9970061060226123
McC_252_APC_1B1_2_B10.mzML	CLA_JM_H23_3_C12.mzML	1.0
H4_GB1_C9_7_G9.mzML	CLA_JM_H23_3_C12.mzML	0.9992926490863435
CLA_JM_H23_6_F11.mzML	CLA_JM_H23_3_C12.mzML	0.9137699853186585
DSM_105335_8_H5.mzML	CLA_JM_H23_3_C12.mzML	0.9888828161285548
DSM_105335_A5.mzML	CLA_JM_H23_3_C12.mzML	0.9752146160189343
CLA_AA_H222_A2.mzML	CLA_JM_H23_3_C12.mzML	0.9991974711507273
CLA_JM_H27_2_B6.mzML	CLA_JM_H23_3_C12.mzML	0.9920645138372169
BL_178_WT_3A_4_D7.mzML	CLA_JM_H23_3_C12.mzML	0.9883669504962405
BL_178_WT_3A_2_B7.mzML	CLA_JM_H23_3_C12.mzML	0.9877962737197357
CLA_JM_H27_4_D6.mzML	CLA_JM_H23_3_C12.mzML	0.9751896019325778
